Ship_got_good {%1 unidades de %2 rescatadas}
Ship_cant_got_good {no hay sitio para %1}
seg_Balls {Balas de cañón}
seg_Grapes {Metralla}
seg_Knippels {Balas encadenadas}
seg_Bombs {Bombas}
seg_Sailcloth {Lona}
seg_Planks {Tablones}
seg_Slaves {Esclavos}
seg_Wheat {Trigo}
seg_Ebony {Ébano}
seg_Chocolate {Cacao}
seg_Sugar {Azúcar}
seg_Wine {Vino}
seg_Linen {Lino}
seg_Rum {Ron}
seg_Tobacco {Tabaco}
seg_Coffee {Café}
seg_Mahogany {Caoba}
seg_Cinnamon {Canela}
seg_Copra {Copra}
seg_Paprika {Pimentón}
seg_Fruits {Fruta}
seg_Ale {Cerveza}
seg_Silk {Seda}
seg_Clothes {Ropa}
seg_Cotton {Algodón}
seg_Sandal {Sándalo}
seg_Leather {Cuero}
seg_Oil {Aceite}
seg_Food {Víveres}
seg_Weapon {Armas}
seg_Gold {Oro}
seg_Silver {Plata}
seg_Powder {Pólvora}
seg_Brick {Ladrillos}
seg_Medicament {Medicinas}
